	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	G2-M Checkpoint	50/200	3.58981210157105e-26	1.79490605078553e-24	0	0	8.51385165326184	498.819012798981	TOP2A;HMGB3;KIF11;MKI67;KIF15;CDC20;PTTG1;EXO1;CHEK1;PBK;NUSAP1;NEK2;MYBL2;KIF23;KNL1;CDC25A;CCNA2;H2BC12;ESPL1;BIRC5;KIF2C;MCM2;TROAP;TTK;HMMR;EFNA5;CENPA;AURKB;AURKA;CCNB2;ORC6;CDC45;E2F1;RAD54L;E2F2;DMD;BUB1;GINS2;POLQ;STIL;UBE2C;EGF;PLK1;CDC6;TPX2;CENPE;CENPF;KIF4A;CDK1;CDKN3
2	E2F Targets	45/200	1.18352171171049e-21	2.95880427927622e-20	0	0	7.36398780121129	354.839587850429	TOP2A;CDCA3;DSCC1;CDCA8;BUB1B;HMGB3;HMMR;MKI67;AURKB;AURKA;CDC20;CCNB2;ORC6;PTTG1;CHEK1;MYBL2;TK1;DLGAP5;E2F8;GINS1;RRM2;SPAG5;PLK1;CDC25A;CIT;CENPE;MELK;KIF18B;DIAPH3;ESPL1;CCNE1;UBE2T;KIF4A;DEPDC1;CDK1;CENPM;MCM4;BIRC5;KIF2C;TRIP13;SPC24;MXD3;CDKN3;SPC25;MCM2
3	Mitotic Spindle	25/199	3.82464127015782e-07	6.3744021169297e-06	0	0	3.54629753864961	52.4023300514156	TOP2A;PIF1;TTK;KIF11;KIF15;AURKA;CCNB2;NUSAP1;NEK2;WASF1;BUB1;DLGAP5;PLK1;KIF23;SHROOM1;ANLN;TPX2;CENPE;CENPF;ESPL1;KIF4A;CDK1;BIRC5;KIF2C;RAPGEF5
4	Estrogen Response Late	24/200	1.49913092354302e-06	1.87391365442877e-05	0	0	3.36104569006123	45.0737233642305	TOP2A;CHST8;CA12;GINS2;DUSP2;STIL;CAV1;SEMA3B;CDC6;PRSS23;PRLR;ASS1;CDC20;CCNA1;FABP5;ACOX2;MDK;GPER1;BAG1;CPE;SFN;KIF20A;S100A9;LTF
5	Epithelial Mesenchymal Transition	22/200	1.65290067280241e-05	0.000165290067280241	0	0	3.03814998693494	33.451227588171	SPARC;PCOLCE2;MMP1;IGFBP3;FN1;HTRA1;PLOD2;LAMC1;GEM;FBLN5;FSTL3;CDH6;TGFBR3;NT5E;COL1A2;CDH2;COL7A1;ADAM12;SDC1;GAS1;MYL9;PFN2
6	Coagulation	17/138	3.5218814168809e-05	0.000293490118073408	0	0	3.44169787500398	35.2909295206843	C1QA;SPARC;MMP1;HPN;HTRA1;FN1;MMP8;CLU;PRSS23;MMP9;C2;GP9;ACOX2;PLAU;SERPING1;ANG;CFB
7	Spermatogenesis	15/135	0.000317001453442525	0.00226429609601804	0	0	3.05441741357234	24.6082321600073	ELOVL3;TTK;SEPTIN4;SLC2A5;NCAPH;AURKA;CCNB2;CCNA1;H1-6;DMC1;CDK1;NEK2;KIF2C;BUB1;CDKN3
8	Glycolysis	19/200	0.000416584033410019	0.00231435574116677	0	0	2.56999936005461	20.003390473492	B4GALT2;CHPF;IGFBP3;PGAM2;SPAG4;PLOD2;HMMR;NOL3;CENPA;AURKA;TPST1;NT5E;CLDN9;DEPDC1;CDK1;SDC1;ANG;KIF20A;MET
9	KRAS Signaling Up	19/200	0.000416584033410019	0.00231435574116677	0	0	2.56999936005461	20.003390473492	ABCB1;GYPC;IGFBP3;RGS16;SEMA3B;NAP1L2;ETV1;RETN;MMP9;EREG;RBP4;SLPI;FGF9;PLAU;ALDH1A2;CPE;EPHB2;SCN1B;CFB
10	Myogenesis	18/200	0.00109789469325508	0.00499043042388671	0	0	2.41811915590836	16.4779365024893	MYBPC3;WWTR1;COL15A1;SPARC;CKM;ITGB4;SPHK1;IGFBP3;PGAM2;PYGM;CLU;MAPK12;TNNT3;ADAM12;BAG1;ITGA7;DMD;ANKRD2
