	COVID19_HC_06	COVID19_HC_29	COVID19_HC_01	COVID19_HC_22	COVID19_HC_31	COVID19_HC_25	COVID19_HC_17	COVID19_HC_09	COVID19_HC_20	COVID19_HC_08	COVID19_HC_05	COVID19_HC_24	COVID19_018	COVID19_016	COVID19_001	COVID19_019	COVID19_014	COVID19_011	COVID19_029	COVID19_027	COVID19_036	COVID19_022	COVID19_032	COVID19_006
ENSG00000000003_TSPAN6	22	17	4	10	13	12	13	0	13	7	6	3	21	9	6	1	5	1	0	4	0	2	2	11
ENSG00000000005_TNMD	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419_DPM1	1534	676	317	823	926	727	569	226	565	324	459	384	843	792	323	258	774	842	231	443	347	429	175	776
ENSG00000000457_SCYL3	1216	694	209	715	769	489	519	232	517	209	438	250	590	487	361	180	454	565	200	336	268	349	163	514
ENSG00000000460_FIRRM	217	148	39	129	110	90	104	30	97	28	73	50	187	99	82	64	67	76	65	109	60	64	55	100
ENSG00000000938_FGR	35131	14746	6517	19818	20787	13024	13805	11316	16817	7327	11802	9907	12845	35371	17263	8868	27443	40327	9118	24672	10766	17795	5824	19759
ENSG00000000971_CFH	413	150	105	208	464	104	129	34	128	71	132	250	54	167	141	34	103	154	17	58	25	184	34	135
ENSG00000001036_FUCA2	1331	555	308	646	674	467	665	283	379	310	474	380	732	1059	306	356	950	854	347	637	419	545	275	700
ENSG00000001084_GCLC	1511	754	149	757	762	521	440	183	505	184	435	292	455	461	304	197	383	378	147	239	247	350	120	550
ENSG00000001167_NFYA	2453	1431	197	1507	1277	669	749	357	1124	300	919	485	744	1325	643	315	806	1087	450	503	503	590	233	733
ENSG00000001460_STPG1	157	68	33	85	98	69	65	6	75	22	40	17	99	65	38	26	36	65	14	47	41	36	14	64
ENSG00000001461_NIPAL3	2556	1388	387	1592	1511	958	1031	291	1032	395	819	499	1136	647	539	322	527	670	223	552	352	571	247	940
ENSG00000001497_LAS1L	1843	940	450	882	1007	842	789	299	700	311	603	493	1182	653	575	307	647	842	290	802	360	642	252	967
ENSG00000001561_ENPP4	851	1043	86	771	586	411	270	76	360	73	320	265	197	259	173	79	157	157	82	85	225	162	55	272
ENSG00000001617_SEMA3F	1	0	0	1	0	0	6	2	0	0	1	0	0	9	0	0	1	4	0	1	1	1	0	0
ENSG00000001626_CFTR	1	0	2	0	0	0	18	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
ENSG00000001629_ANKIB1	1817	1195	122	1133	814	578	687	183	685	218	640	344	609	686	487	222	449	498	257	387	360	379	184	480
ENSG00000001630_CYP51A1	46	22	2	17	36	12	13	7	8	7	14	8	12	26	12	7	22	33	7	8	14	14	9	14
ENSG00000001631_KRIT1	347	258	53	218	193	200	108	30	167	70	133	130	164	155	93	71	132	106	49	88	105	132	54	167
ENSG00000002016_RAD52	447	296	39	228	249	210	137	45	233	59	122	121	209	216	154	83	173	219	73	193	119	160	47	304
ENSG00000002330_BAD	883	289	392	425	545	385	506	253	252	232	244	256	551	533	252	208	472	552	164	658	233	309	141	532
ENSG00000002549_LAP3	5689	1221	528	1882	1055	1091	2740	948	888	387	731	570	2478	1793	605	699	2303	3112	1005	1527	1491	1161	640	1377
ENSG00000002586_CD99	14815	5718	6105	5410	7625	5864	5862	2476	3687	3019	3984	4061	6929	6996	3432	3484	7808	7570	1942	7962	2470	5136	2309	7996
ENSG00000002587_HS3ST1	77	21	6	28	43	23	24	7	14	9	34	11	29	15	14	8	6	16	4	4	1	28	4	20
ENSG00000002726_AOC1	31	100	26	40	60	31	63	65	66	10	73	1	10	649	78	50	38	4	5	15	109	39	715	34
ENSG00000002745_WNT16	45	20	11	35	34	14	8	0	18	8	11	1	10	19	5	4	2	1	11	9	8	11	5	9
ENSG00000002746_HECW1	0	1	3	3	0	0	13	0	0	0	3	0	0	2	2	0	1	2	0	2	0	3	0	0
ENSG00000002822_MAD1L1	283	131	151	197	260	166	236	62	158	65	89	90	172	121	115	39	87	178	36	74	51	82	48	186
ENSG00000002834_LASP1	27802	12351	3913	16511	15328	8876	10624	6566	11583	5259	8586	6663	11085	19145	9960	5401	14533	20692	5509	10220	5904	8444	3914	11715
ENSG00000002919_SNX11	2286	1109	573	1373	1669	949	1213	662	1023	603	768	660	1113	1987	978	605	1748	2171	656	1367	541	1093	416	1225
ENSG00000002933_TMEM176A	489	676	476	1037	28	626	1689	405	681	379	557	62	117	1805	704	1044	88	90	37	110	405	953	641	274
ENSG00000003056_M6PR	7301	3454	765	3415	3533	2389	2870	914	2479	1204	2233	1660	2542	2929	1874	1137	2518	2410	931	2013	1283	1985	853	3201
ENSG00000003096_KLHL13	14	11	2	7	13	10	7	3	14	2	9	8	9	7	6	3	10	4	1	3	3	6	2	5
ENSG00000003137_CYP26B1	143	0	1	96	41	48	5	1	1	0	91	0	0	0	0	0	0	199	0	28	0	139	38	66
ENSG00000003147_ICA1	166	72	44	56	84	66	89	37	69	37	62	33	83	85	58	32	134	86	26	89	31	64	39	84
ENSG00000003249_DBNDD1	481	89	25	44	149	66	68	17	99	57	97	23	88	26	28	20	34	39	10	40	23	86	26	93
ENSG00000003393_ALS2	874	506	87	416	464	320	279	119	404	95	249	194	325	451	291	127	312	273	119	249	168	226	112	354
ENSG00000003400_CASP10	2949	1248	434	1270	1397	1059	1272	427	1236	450	958	622	1802	1978	814	642	1146	1832	723	1391	804	983	540	1195
ENSG00000003402_CFLAR	30838	12537	3317	18364	14959	9986	10819	8619	13777	4365	8853	7022	10862	25699	12092	5357	16538	37638	6933	12405	7307	8801	3544	10772
ENSG00000003436_TFPI	17	7	8	12	11	9	36	9	8	4	10	11	21	30	5	14	26	29	1	21	21	5	9	19
ENSG00000003509_NDUFAF7	682	411	113	334	353	337	267	89	334	96	239	191	250	397	259	124	281	310	123	220	164	254	88	376
ENSG00000003756_RBM5	10234	6204	1953	5802	5796	4531	4589	2286	6054	1794	3865	2788	5792	6492	4794	2201	5394	8464	2365	5450	2578	5256	1344	6509
ENSG00000003987_MTMR7	1	2	1	3	1	1	9	0	2	0	1	1	0	2	0	0	1	0	0	0	0	1	0	2
ENSG00000003989_SLC7A2	0	0	1	2	3	0	11	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0
ENSG00000004059_ARF5	4880	1983	1863	2275	3139	1941	2158	1243	1785	1221	1497	1357	2629	3177	1795	1091	3175	3475	899	2719	1018	2000	709	3138
ENSG00000004139_SARM1	1323	805	206	820	798	491	475	176	635	202	457	316	556	359	499	206	304	414	115	467	237	538	137	685
ENSG00000004142_POLDIP2	2851	1177	690	1241	1393	1034	1206	535	861	544	755	610	1726	1546	795	508	1309	1738	548	1442	674	891	489	1403
ENSG00000004399_PLXND1	6882	4968	1355	3550	3012	1837	2394	1271	2470	1051	2132	1207	1549	4776	2375	1178	3871	2571	848	2233	1096	2962	796	2592
