	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significance	ID	GeneName
ENSG00000000003_TSPAN6	6.04845776598438	-0.771881194928414	0.431597713223071	-1.78842744361221	0.0737070719416804	0.174355583596769	Non Significant	ENSG00000000003	TSPAN6
ENSG00000000005_TNMD	0.0239204889651826	-0.0484921000443489	3.00220283361369	-0.0161521731647891	0.987112990765271	NA	Non Significant	ENSG00000000005	TNMD
ENSG00000000419_DPM1	503.274190642292	-0.042777384591401	0.0958328315008716	-0.44637504622841	0.655326354991794	0.77213058602757	Non Significant	ENSG00000000419	DPM1
ENSG00000000457_SCYL3	393.244457517602	-0.182179604727953	0.0644022767153502	-2.82877584488455	0.00467264137922452	0.0230845562720329	Non Significant	ENSG00000000457	SCYL3
ENSG00000000460_FIRRM	82.0085849386445	0.287311206461688	0.160308106448981	1.79224377872074	0.0730939247458897	0.17325092853552	Non Significant	ENSG00000000460	FIRRM
ENSG00000000938_FGR	15668.4184753061	0.506988528744779	0.156876452630741	3.23176946088995	0.00123026268192569	0.00867205748663906	Non Significant	ENSG00000000938	FGR
ENSG00000000971_CFH	117.980217180742	-0.770750656138246	0.282416692134039	-2.72912571248599	0.00635024906980642	0.0288136006821694	Non Significant	ENSG00000000971	CFH
ENSG00000001036_FUCA2	529.919632092334	0.375189734027024	0.130674207367442	2.87118431085662	0.0040893701346795	0.0209415435045784	Non Significant	ENSG00000001036	FUCA2
ENSG00000001084_GCLC	362.610879952907	-0.380591136171405	0.0978427785702154	-3.88982346712771	0.000100317171272111	0.0013789360322319	Non Significant	ENSG00000001084	GCLC
ENSG00000001167_NFYA	689.18799608487	-0.148929716765372	0.14064794913276	-1.05888296049589	0.289653085333025	0.454831793732455	Non Significant	ENSG00000001167	NFYA
ENSG00000001460_STPG1	44.7809270070294	-0.0942639810346429	0.18589535841232	-0.507080875174748	0.612098073399495	0.738765505836361	Non Significant	ENSG00000001460	STPG1
ENSG00000001461_NIPAL3	674.684695179193	-0.544837431261394	0.101024451072167	-5.39312439195723	6.9242981626247e-08	7.10819346915799e-06	Non Significant	ENSG00000001461	NIPAL3
ENSG00000001497_LAS1L	620.414805747746	-0.0368957176423177	0.0950341712652902	-0.388236327534465	0.697841151947515	0.802915253189214	Non Significant	ENSG00000001497	LAS1L
ENSG00000001561_ENPP4	236.769468748619	-0.956237855921222	0.231673640951416	-4.12752116293521	3.66694693673435e-05	0.000651718400785924	Non Significant	ENSG00000001561	ENPP4
ENSG00000001617_SEMA3F	1.00137697452571	0.484796798572589	1.11466149368823	0.434927375995091	0.663615142828685	0.777674784078425	Non Significant	ENSG00000001617	SEMA3F
ENSG00000001626_CFTR	1.18902658605925	-2.64664667879652	1.50478067637609	-1.75882553540649	0.078607146150832	0.183107712023911	Non Significant	ENSG00000001626	CFTR
ENSG00000001629_ANKIB1	471.40170806434	-0.301939374493189	0.141938064279835	-2.12726146453503	0.0333983646867241	0.0991017526396555	Non Significant	ENSG00000001629	ANKIB1
ENSG00000001630_CYP51A1	13.4970130366567	0.271930192518021	0.25272859476053	1.07597714764206	0.281937476816551	0.447274471364363	Non Significant	ENSG00000001630	CYP51A1
ENSG00000001631_KRIT1	119.022913203614	-0.187482784197017	0.147106981197756	-1.27446558056265	0.202498463400118	0.358243263206937	Non Significant	ENSG00000001631	KRIT1
ENSG00000002016_RAD52	147.592525644231	0.180429683925474	0.133621968600953	1.35029954890357	0.176919917001925	0.325978596326995	Non Significant	ENSG00000002016	RAD52
ENSG00000002330_BAD	364.445323876703	0.0706821886786674	0.186469189255023	0.379055590690639	0.704646583213706	0.80821925903311	Non Significant	ENSG00000002330	BAD
ENSG00000002549_LAP3	1318.92265113184	0.437054866448641	0.228838557065694	1.90988298498654	0.056148281309802	0.1437668439187	Non Significant	ENSG00000002549	LAP3
ENSG00000002586_CD99	5134.45900996271	0.0422907221354445	0.177728133133302	0.23795176030868	0.811918509308929	0.881232113118355	Non Significant	ENSG00000002586	CD99
ENSG00000002587_HS3ST1	15.103944286117	-0.648826427764295	0.303559732299853	-2.1373929369637	0.0325660454117198	0.097306611159432	Non Significant	ENSG00000002587	HS3ST1
ENSG00000002726_AOC1	61.5459745753111	0.794768218711344	0.634606823085083	1.25237893732004	0.210431817512584	0.367969118934567	Non Significant	ENSG00000002726	AOC1
ENSG00000002745_WNT16	10.6455982343533	-0.581002270993582	0.405600428494356	-1.43244984516003	0.152015122107194	0.293352689060879	Non Significant	ENSG00000002745	WNT16
ENSG00000002746_HECW1	1.34504980804827	-0.916547464702996	1.09313887589482	-0.838454733350077	0.401775360613639	0.564208771982138	Non Significant	ENSG00000002746	HECW1
ENSG00000002822_MAD1L1	116.140294859354	-0.525014461520626	0.186833040169371	-2.81007289205743	0.00495302808383976	0.0240154845009084	Non Significant	ENSG00000002822	MAD1L1
ENSG00000002834_LASP1	9682.56542123197	0.161120909555601	0.110532921814408	1.4576734868742	0.144930563281382	0.283765571741145	Non Significant	ENSG00000002834	LASP1
ENSG00000002919_SNX11	1026.68084766535	0.288398371773456	0.127834714218947	2.25602547426597	0.0240690358018213	0.0780799521411082	Non Significant	ENSG00000002919	SNX11
ENSG00000002933_TMEM176A	598.46461727651	0.160248629682471	0.602642302722905	0.265910024833012	0.790308504269951	0.866320249149582	Non Significant	ENSG00000002933	TMEM176A
ENSG00000003056_M6PR	2023.39357798323	-0.0984674978212262	0.0694489704075787	-1.41783956253556	0.156237610725212	0.299064017846558	Non Significant	ENSG00000003056	M6PR
ENSG00000003096_KLHL13	5.80110059263521	-0.506149840937799	0.320696529684997	-1.57828287519969	0.114500638267852	0.239567485736587	Non Significant	ENSG00000003096	KLHL13
ENSG00000003137_CYP26B1	29.9477166273113	0.758803714551708	1.41908467364589	0.534713487252458	0.59284799370918	0.724555419976583	Non Significant	ENSG00000003137	CYP26B1
ENSG00000003147_ICA1	62.6871413056815	0.220893625968054	0.160100660626467	1.37971714235099	0.16767375272969	0.31389683584155	Non Significant	ENSG00000003147	ICA1
ENSG00000003249_DBNDD1	55.8954588697328	-0.724015549633296	0.292632714328976	-2.47414425722533	0.0133555756634522	0.0504897118248612	Non Significant	ENSG00000003249	DBNDD1
ENSG00000003393_ALS2	251.023394293188	-0.0474981115187226	0.104523784864067	-0.454423953174807	0.649523715260676	0.767784932188451	Non Significant	ENSG00000003393	ALS2
ENSG00000003400_CASP10	1019.8319548262	0.387901619220512	0.0901582434411271	4.30245315808321	1.68917389624363e-05	0.000356066765625418	Non Significant	ENSG00000003400	CASP10
ENSG00000003402_CFLAR	11048.9215440808	0.345685263700481	0.187220415970227	1.84640794599801	0.0648329943380637	0.158573271389718	Non Significant	ENSG00000003402	CFLAR
ENSG00000003436_TFPI	13.8743806694567	0.631451310197695	0.355924544884449	1.77411566376434	0.0760440203553574	0.178595078441656	Non Significant	ENSG00000003436	TFPI
ENSG00000003509_NDUFAF7	231.005220099388	0.0342213815826274	0.0919725891862617	0.37208239852118	0.709831500967191	0.811710100067046	Non Significant	ENSG00000003509	NDUFAF7
ENSG00000003756_RBM5	4187.64820663039	0.246394122747904	0.0917216887776254	2.68632344248778	0.0072243117687243	0.0317239726543952	Non Significant	ENSG00000003756	RBM5
ENSG00000003987_MTMR7	0.939130192912158	-1.608880684318	0.904346681588964	-1.7790530081795	0.0752310718374331	0.176982532205039	Non Significant	ENSG00000003987	MTMR7
ENSG00000003989_SLC7A2	0.864441099662777	-1.51926636555274	1.35656797117501	-1.11993383142962	0.262741960091957	0.426616529299996	Non Significant	ENSG00000003989	SLC7A2
ENSG00000004059_ARF5	1968.7019460114	0.125290388757297	0.146445665956018	0.855541800703924	0.392251273650122	0.555124896737209	Non Significant	ENSG00000004059	ARF5
ENSG00000004139_SARM1	403.063039202454	-0.235583080824645	0.138366570525848	-1.70260114079099	0.0886427364518659	0.199313574490997	Non Significant	ENSG00000004139	SARM1
ENSG00000004142_POLDIP2	982.887332662974	0.247357943830019	0.105460322835369	2.34550717444856	0.0190012128965431	0.0654132460953601	Non Significant	ENSG00000004142	POLDIP2
ENSG00000004399_PLXND1	2158.02961372677	0.0133475089861197	0.158196074024205	0.0843731999573985	0.932759714626803	0.958900737361318	Non Significant	ENSG00000004399	PLXND1
ENSG00000004455_AK2	1506.14100556232	0.045481069394948	0.0729802242993285	0.623197171995626	0.53315495989013	0.677054951124692	Non Significant	ENSG00000004455	AK2
ENSG00000004468_CD38	674.517552744836	1.58425956434463	0.340181285943835	4.65710381436503	3.20688756361013e-06	0.000110415036905143	Up regulated in COVID compared to HC	ENSG00000004468	CD38
ENSG00000004478_FKBP4	703.102124052023	-0.153264399569182	0.105171250196191	-1.45728418444466	0.145037950682981	0.283903681665912	Non Significant	ENSG00000004478	FKBP4
ENSG00000004487_KDM1A	860.304110735052	-0.0471476918111498	0.10375952160592	-0.454393881943841	0.649545355052804	0.767784932188451	Non Significant	ENSG00000004487	KDM1A
ENSG00000004534_RBM6	3088.07264845418	0.255997841351439	0.109393752774812	2.34015046433604	0.0192759723104819	0.066152217668645	Non Significant	ENSG00000004534	RBM6
ENSG00000004660_CAMKK1	518.663939112693	0.441743047215538	0.151262630530455	2.92037131488731	0.00349614552096167	0.0185701848784896	Non Significant	ENSG00000004660	CAMKK1
ENSG00000004700_RECQL	953.290424438079	-0.285923928601346	0.0937516354311088	-3.04980203584236	0.00228992251019313	0.0135504669583587	Non Significant	ENSG00000004700	RECQL
ENSG00000004766_VPS50	309.780581389739	-0.322679528238413	0.128279089488774	-2.51544916263731	0.0118880820775151	0.0463052216209381	Non Significant	ENSG00000004766	VPS50
ENSG00000004776_HSPB6	4.11354394237909	1.75919002196554	0.682373244505282	2.57804659858982	0.00993605978648558	0.0402622249959675	Up regulated in COVID compared to HC	ENSG00000004776	HSPB6
ENSG00000004777_ARHGAP33	269.054127372986	0.376007160924967	0.184190878942171	2.04139946062704	0.0412111380315869	0.115269999260977	Non Significant	ENSG00000004777	ARHGAP33
ENSG00000004779_NDUFAB1	446.514585060288	0.183677478211211	0.153821459571259	1.19409527593334	0.232440700949166	0.393932831896038	Non Significant	ENSG00000004779	NDUFAB1
ENSG00000004799_PDK4	413.285885339831	0.0803386204200933	0.268055445450973	0.299708966124275	0.764399158858565	0.849303591722083	Non Significant	ENSG00000004799	PDK4
ENSG00000004809_SLC22A16	30.4447940812738	1.11516473410327	0.393539987364806	2.83367578875671	0.00460159912127389	0.0228434409986177	Up regulated in COVID compared to HC	ENSG00000004809	SLC22A16
ENSG00000004838_ZMYND10	45.9145717604669	0.370452662331548	0.211417246773807	1.75223482466353	0.0797334377928113	0.18478155255669	Non Significant	ENSG00000004838	ZMYND10
ENSG00000004846_ABCB5	0.282776497758212	0.929443185293172	1.73679687572739	0.535147891087673	0.592547595842586	NA	Non Significant	ENSG00000004846	ABCB5
ENSG00000004848_ARX	0.154393721379684	-1.07665843644087	2.45742933041943	-0.438123865094874	0.661296495320153	NA	Non Significant	ENSG00000004848	ARX
ENSG00000004864_SLC25A13	151.864577327851	-0.0766774925177598	0.103815291258179	-0.738595360938398	0.460152742037148	0.616350278342352	Non Significant	ENSG00000004864	SLC25A13
ENSG00000004866_ST7	137.350329221597	0.176655281067092	0.148793587025518	1.18725063760172	0.235128772492712	0.396617324065704	Non Significant	ENSG00000004866	ST7
ENSG00000004897_CDC27	574.194877577698	-0.125358555799602	0.132080717210817	-0.949105656350386	0.342566877867406	0.507949674851699	Non Significant	ENSG00000004897	CDC27
ENSG00000004939_SLC4A1	2115.91693025584	-0.644572988564139	0.460448497182417	-1.39988075215452	0.161549030803781	0.306150413928848	Non Significant	ENSG00000004939	SLC4A1
ENSG00000004948_CALCR	0.487663295064235	-1.35697211649102	1.66047112397651	-0.817221146996721	0.413802059649908	NA	Non Significant	ENSG00000004948	CALCR
ENSG00000004961_HCCS	271.648319253756	-0.0987808934709393	0.100121089883616	-0.986614244668789	0.323831784334533	0.489688318430895	Non Significant	ENSG00000004961	HCCS
ENSG00000004975_DVL2	434.38256925132	-0.0739829181211421	0.0675358772515172	-1.09546097766103	0.273314732283007	0.43792312672859	Non Significant	ENSG00000004975	DVL2
ENSG00000005001_PRSS22	6.99137606991008	-0.592257648882022	0.449250462467384	-1.31832396037883	0.187395223380159	0.339514755680761	Non Significant	ENSG00000005001	PRSS22
ENSG00000005007_UPF1	4181.12107585001	0.0981392373240715	0.0809211866542234	1.21277555831479	0.22521564258175	0.385808542139209	Non Significant	ENSG00000005007	UPF1
ENSG00000005020_SKAP2	1825.24354625367	0.148923408122291	0.181310481998355	0.821372302808405	0.411434235024893	0.573425300967671	Non Significant	ENSG00000005020	SKAP2
ENSG00000005022_SLC25A5	2189.65604007528	-0.0534445736558235	0.117814407373296	-0.453633599212395	0.650092566217314	0.768137133106556	Non Significant	ENSG00000005022	SLC25A5
ENSG00000005059_MCUB	737.679235400771	-0.306641496516122	0.126274920915322	-2.4283641937242	0.0151671042366623	0.055211412516591	Non Significant	ENSG00000005059	MCUB
ENSG00000005073_HOXA11	0.269096291793761	-0.331004308047062	2.54026034534624	-0.130303300861844	0.896326468627109	NA	Non Significant	ENSG00000005073	HOXA11
ENSG00000005075_POLR2J	602.104655534375	0.233822873751888	0.143977151614321	1.62402764001222	0.104369909668804	0.224269409857287	Non Significant	ENSG00000005075	POLR2J
ENSG00000005100_DHX33	250.837097482932	0.0392319592436273	0.107198891275048	0.365973554175733	0.714384809388616	0.815162583521119	Non Significant	ENSG00000005100	DHX33
ENSG00000005102_MEOX1	48.8607671319961	-0.403261228589313	0.232355199358881	-1.7355377874134	0.0826455944518219	0.189855187028034	Non Significant	ENSG00000005102	MEOX1
ENSG00000005108_THSD7A	3.08240163481778	-0.0314192170605818	0.714398581734457	-0.0439799544174633	0.964920382462005	0.979161636240132	Non Significant	ENSG00000005108	THSD7A
ENSG00000005156_LIG3	427.555928093028	-0.0484660133796388	0.0792615445486792	-0.611469454142077	0.540888834484439	0.683608599948386	Non Significant	ENSG00000005156	LIG3
ENSG00000005175_RPAP3	529.26623193062	-0.33429378570337	0.093206837133558	-3.58658008343695	0.00033504320137645	0.00328623850414368	Non Significant	ENSG00000005175	RPAP3
ENSG00000005187_ACSM3	97.3871738744794	-0.611896673695401	0.193177430215232	-3.16753708243063	0.00153736102122698	0.010127916193282	Non Significant	ENSG00000005187	ACSM3
ENSG00000005189_REXO5	23.6354553912261	0.59498655820013	0.269608007117434	2.20685789180204	0.0273239890365249	0.0860133497576735	Non Significant	ENSG00000005189	REXO5
ENSG00000005194_CIAPIN1	471.460989467571	0.0433767281554372	0.12119946483848	0.357895376957684	0.72042161054074	0.819166147712573	Non Significant	ENSG00000005194	CIAPIN1
